PID,Naphids,Thujene,Pinene,Camphene,Sabinene,Terpinene.alpha,oCymene,Limonene,Terpinene.gamma,Thujone,Eucaliptol,Terpineol.beta,SabineneHydrate,L.Camphor,Terpineol4,Terpineol,Dihydrocarvone,Copaene,Caryophyllene,Cubebene,Amorphene,GermacreneD,Sesquiphellandrene
P148,3,0.0499,0.0155,0.0153,0.0811,0.0064,0,0.0012,0.0275,-0.0001,0.0459,0.0944,0.0138,0.2949,0.0099,0.0012,0.0003,0.002,0,0.0733,0.005,0.0028,0.0001
P151,3,0.0499,0.0155,0.0153,0.0811,0.0064,0,0.0012,0.0275,-0.0001,0.0459,0.0944,0.0138,0.2949,0.0099,0.0012,0.0003,0.002,0,0.0733,0.005,0.0028,0.0001
P154,3,0.0499,0.0155,0.0153,0.0811,0.0064,0,0.0012,0.0275,-0.0001,0.0459,0.0944,0.0138,0.2949,0.0099,0.0012,0.0003,0.002,0,0.0733,0.005,0.0028,0.0001
P160,3,0.0023,0.014,0.0306,0.015,0.0001,0.001,0.0001,0.0018,0.0001,0.0457,0.0001,0.002,0.3265,0.0009,0.0027,0.0002,0.0011,0,0.0245,0.0022,0.0004,0
P166,3,0.0017,0.0024,0.0131,0.0443,0.0002,0.0139,0,0.0012,0.2923,0.017,0.0022,0.0019,0.2189,0.0007,0.0007,0.0003,0.0019,0,0.0512,0.0038,0.0019,0.0002
P169,3,0.0017,0.0024,0.0131,0.0443,0.0002,0.0139,0,0.0012,0.2923,0.017,0.0022,0.0019,0.2189,0.0007,0.0007,0.0003,0.0019,0,0.0512,0.0038,0.0019,0.0002
P174,3,0.0007,0.0033,0.0072,0.0247,0,0.002,0,0.0006,0.1298,0.0058,0.0003,0.0007,0.074,0.0005,0.0003,0.0002,0.0014,0,0.0355,0.0026,0.0012,0.0005
P178,3,0.0024,0.0049,0.0275,0.0095,0.0001,0.0145,0.0015,0.0005,0.003,0.0052,0.0001,0.0013,0.3159,0.0009,0.0007,0.0002,0.0013,0,0.039,0.0028,0.002,0.0001
P182,3,0.1846,0.0079,0.0001,0.2387,0.0313,0,0.0012,0.0907,0.0003,0.1337,0.0857,0.0193,0.0005,0.016,0.0006,0.0004,0.0021,0,0.0594,0.0041,0.0024,0.002
P185,3,0.1846,0.0079,0.0001,0.2387,0.0313,0,0.0012,0.0907,0.0003,0.1337,0.0857,0.0193,0.0005,0.016,0.0006,0.0004,0.0021,0,0.0594,0.0041,0.0024,0.002
P188,3,0.0118,0.0024,0,0.0813,0.0016,0.0229,0.0002,0.0065,0.1807,0.006,0.03,0.0067,0.0001,0.0068,0.0002,0.0002,0.0011,0,0.0237,0.0018,0.0009,0.0002
P195,3,0.0037,0.0003,0,0.0501,0.001,0.0046,0,0.0028,0.9646,0.0067,0.0069,0.0024,0,0.001,0,0.0007,0.0011,0,0.033,0.0024,0,0.0004
P205,3,0.0043,0,0,0.0386,0.0008,0.0046,0,0.0025,0.5066,0.0111,0.0124,0.0027,0,0.001,0,0.0009,0.0015,0,0.0537,0.0028,0,0
P210,3,0.0291,0.0053,0.0175,0.0761,0.0041,0,0.0006,0.0179,0,0.0531,0.0373,0.0055,0.2062,0.0037,0.0023,0.0003,0.0018,0.0035,0.0562,0.0042,0.0031,0.0026
P213,3,0.0291,0.0053,0.0175,0.0761,0.0041,0,0.0006,0.0179,0,0.0531,0.0373,0.0055,0.2062,0.0037,0.0023,0.0003,0.0018,0.0035,0.0562,0.0042,0.0031,0.0026
P216,3,0.0059,0.0065,0.0154,0.01,0.0017,0.0077,0.0001,0.0082,0.0002,0.0206,0.019,0.0095,0.2302,0.0074,0,0.0004,0.0013,0,0.028,0.0023,0.0006,0
P221,3,0.0082,0.0013,0,0.0326,0.0016,0.0188,0.0001,0.006,0.349,0.0347,0.0331,0.007,0.0004,0.0047,0.0004,0.0005,0.0019,0,0.0584,0.0035,0.0021,0.0007
P224,3,0.0082,0.0013,0,0.0326,0.0016,0.0188,0.0001,0.006,0.349,0.0347,0.0331,0.007,0.0004,0.0047,0.0004,0.0005,0.0019,0,0.0584,0.0035,0.0021,0.0007
P229,3,0.0007,0.0008,0,0.0167,0.0002,0.0055,0,0.0015,0.2506,0.0076,0.0166,0.003,0,0.0016,0.0001,0.0006,0.0019,0,0.0614,0.0039,0.0023,0.0007
P232,3,0.0007,0.0008,0,0.0167,0.0002,0.0055,0,0.0015,0.2506,0.0076,0.0166,0.003,0,0.0016,0.0001,0.0006,0.0019,0,0.0614,0.0039,0.0023,0.0007
P235,3,0.0007,0.0008,0,0.0167,0.0002,0.0055,0,0.0015,0.2506,0.0076,0.0166,0.003,0,0.0016,0.0001,0.0006,0.0019,0,0.0614,0.0039,0.0023,0.0007
P240,3,0.004,0.0007,0,0.0139,0.0011,0.0131,0,0.0032,0.1817,0.025,0.0124,0.0059,0,0.005,0.0001,0.0007,0.0025,0,0.0886,0.0056,0.0036,0
P243,3,0.0381,0.0036,0,0.0744,0.0054,0.0168,0.0005,0.0173,0,0.1886,0.0272,0.0116,0,0.0052,0.0005,0.0004,0.0007,0,0.0137,0.0013,0.0005,0.0004
P246,3,0.0374,0.0046,0,0.0729,0.0156,0.0133,0.0006,0.0492,0.0002,0.1651,0.2768,0.0299,0,0.0228,0.001,0.0024,0.0054,0,0.1018,0.0044,0,0
P251,3,0.009,0.0016,0,0.0602,0.0014,0.016,0.0002,0.0078,0.1911,0.0176,0.0216,0.0034,0,0.0022,0.0004,0.0005,0.0019,0,0.0606,0.0039,0.0027,0
P254,3,0.0606,0.0029,0,0.0767,0.0204,0.0329,0.0006,0.0535,0.0002,0.15,0.2095,0.0241,0.0001,0.0117,0.0004,0.0007,0.0017,0,0.0704,0.0032,0.0008,0.0006
